id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,estimated_diameter_mean_km,estimated_diameter_min_m,estimated_diameter_max_m,relative_velocity_km_s,relative_velocity_km_h,miss_distance_km,miss_distance_astronomical,miss_distance_lunar,orbiting_body,close_approach_date,is_sentry_object,is_potentially_hazardous_asteroid
3683468,3683468,(2014 QR295),-1.7878403795912046,2.8639978157280477,2.8639978154308867,2.863997815522714,557.8982210671,1247.4983468323,0.31469624399151286,58249.6896629513,-0.12118546717462796,0.2629103243,102.2721161527,Earth,2023-01-01,False,0
3703782,3703782,(2015 AE45),0.7077169128850074,-0.6185140472833989,-0.6185140472063398,-0.6185140472301524,23.150212221,51.7654482198,-0.990915622533577,24703.7439103688,-1.6552220252815228,0.0569979859,22.1722165151,Earth,2023-01-01,False,0
3720918,3720918,(2015 LJ),0.49102597576695667,-0.5705323047019333,-0.5705323050853811,-0.5705323049668893,30.5179232594,68.2401509401,-0.9450889970683888,25881.1975863978,1.1559382585665918,0.4343374858,168.9572819762,Earth,2023-01-01,False,0
3767936,3767936,(2017 BQ93),-0.9896954278730525,0.5438235159912748,0.5438235163539505,0.5438235162418777,201.6299194428,450.8582061718,1.4331781111815078,86987.5810714278,-1.3137151730641208,0.1028381415,40.0040370435,Earth,2023-01-01,False,1
3792438,3792438,(2017 XY61),1.0327533185620823,-0.6696693491295855,-0.6696693488263313,-0.669669348920042,15.2951935344,34.201092472,-0.8078666754409307,29406.9410907668,-0.719222359188608,0.1826363737,71.0455493693,Earth,2023-01-01,False,0
3824981,3824981,(2018 KR),1.101372115316132,-0.6780145388465606,-0.6780145387623951,-0.6780145387884038,14.0137697166,31.3357417074,-1.1661936064411909,20200.2112060543,-0.41937028467308074,0.2228852462,86.7023607718,Earth,2023-01-01,False,0
3836251,3836251,(2018 VB10),0.8882926938167159,-0.649521999010978,-0.6495219989796792,-0.6495219989893511,18.388867207,41.1187571041,-1.0743714716129242,22559.4578038017,-0.11423959078154121,0.263842663,102.634795907,Earth,2023-01-01,False,0
3837605,3837605,(2019 AE3),1.4661351927981825,-0.7119593351857134,-0.7119593351557676,-0.7119593351650213,8.801465209,19.6806745089,-0.8304727478276405,28826.1083810302,-0.8446700681238538,0.1657976413,64.4952824657,Earth,2023-01-01,False,0
3959234,3959234,(2019 YO4),-0.5238099130692448,-0.04434441572014449,-0.044344415788403826,-0.04434441576731048,111.3153296083,248.908643942,1.3653241966764003,85244.1657476544,1.56144075435522,0.4887677187,190.1306425743,Earth,2023-01-01,False,0
3986848,3986848,(2020 BT3),0.8016163189694951,-0.6355268873511849,-0.6355268876788731,-0.6355268875776118,20.5378499518,45.924028604,-0.4966552144012273,37403.1021683567,-1.2411266718657628,0.1125816303,43.7942541867,Earth,2023-01-01,False,0
54341664,54341664,(2023 CA4),-0.44435656945929347,-0.11419217789429016,-0.11419217778795464,-0.11419217782081413,100.5900390178,224.9261651032,-0.36714639201352917,40730.6576552458,-1.1440127828752908,0.1256171397,48.8650673433,Earth,2023-01-01,False,0
2847344,2847344,847344 (2023 CA4),-0.44435656945929347,-0.11419217789429016,-0.11419217778795464,-0.11419217782081413,100.5900390178,224.9261651032,-0.3671463914110458,40730.6576706314,-1.1440127828752908,0.1256171397,48.8650673433,Earth,2023-01-01,False,0
3726785,3726785,(2015 RD2),-1.4736385207700313,1.6645974485747026,1.6645974486253146,1.6645974486096746,373.7274319137,835.6799428155,-0.7864498840057073,29957.21682138,-0.7869274072014627,0.1735483864,67.5103223096,Earth,2023-01-04,False,0
3826807,3826807,(2018 PN22),1.5022503489845247,-0.7145391140354687,-0.7145391140311373,-0.7145391140324757,8.4053340207,18.7948982439,-1.422409549551867,13617.0861989297,-1.508731932750207,0.0766612184,29.8212139576,Earth,2023-01-04,False,0
3837644,3837644,(2019 AY3),0.17321260132715,-0.4712219409235309,-0.47122194088323893,-0.4712219408956903,45.7672667231,102.3387195373,0.7742482953019101,70057.2632449975,-1.8196462371313609,0.0349274728,13.5867869192,Earth,2023-01-04,False,0
3366808,3366808,(2007 BT7),-1.170271208804761,0.8838189472646677,0.8838189471369955,0.8838189471764485,253.8370293645,567.5968528656,0.612531247003015,65902.1605926707,0.00040437025193850774,0.2792312181,108.6209438409,Earth,2023-01-05,False,0
3684006,3684006,(2014 QV296),0.1551550232339789,-0.46427931618374274,-0.4642793162175819,-0.464279316207125,46.8333233136,104.7224945415,-0.7051461264718936,32046.2078220756,1.4319968201509252,0.4713925766,183.3717122974,Earth,2023-01-05,False,0
3692287,3692287,(2014 TC),1.0327533185620823,-0.6696693491295855,-0.6696693488263313,-0.669669348920042,15.2951935344,34.201092472,-0.7304716162001393,31395.5033311844,0.5316490945812262,0.3505397165,136.3599497185,Earth,2023-01-05,False,0
3740044,3740044,(2016 AJ165),0.7438320690713484,-0.6252995569141984,-0.6252995565719053,-0.6252995566776801,22.1082810359,49.435619262,-0.18090015349992428,45516.0049503304,-0.09749191990312985,0.2660906877,103.5092775153,Earth,2023-01-05,False,0
3797750,3797750,(2018 BP1),0.45491081958061574,-0.5611656941969925,-0.5611656943010598,-0.5611656942689012,31.9561886721,71.4562101727,0.5488840792034135,64266.831983133,-0.0704049995250971,0.2697265405,104.9236242545,Earth,2023-01-05,False,0
3836890,3836890,(2018 XE4),1.1049836309347654,-0.6784338576296072,-0.6784338575358483,-0.6784338575648213,13.9493822934,31.1917670523,-0.8023350559496064,29549.0686341536,-1.6397552466002203,0.0590740776,22.9798161864,Earth,2023-01-05,False,0
3893730,3893730,(2019 WC5),-0.31434200718846356,-0.21427138025865988,-0.21427138005992372,-0.2142713801213366,85.2226386454,190.5636132329,0.07132384331552051,51996.5622516625,-1.5938346604954277,0.0652379563,25.3775650007,Earth,2023-01-05,False,0
3943360,3943360,(2019 YV1),0.6824363035545681,-0.6135747981097771,-0.613574797923229,-0.6135747979808756,23.9086457171,53.4613570733,0.7251126129459858,68794.7877903362,1.6001114629105644,0.4939584529,192.1498381781,Earth,2023-01-05,False,0
3773986,3773986,(2017 HJ),1.5130848958404277,-0.7152901639041421,-0.7152901637322338,-0.7152901637853564,8.2900085145,18.5370225725,0.17990925991017137,54786.5188906392,0.4594290254289764,0.340845682,132.588970298,Earth,2023-01-02,True,0
2494690,2494690,494690 (2004 JQ1),-1.170271208804761,0.8838189472646677,0.8838189471369955,0.8838189471764485,253.8370293645,567.5968528656,2.8095481312778174,122351.5626754885,1.586426583306887,0.4921215439,191.4352805771,Earth,2023-01-03,False,1
3407681,3407681,(2008 FX6),0.599371444325982,-0.5961777758016559,-0.5961777759260514,-0.5961777758876114,26.58,59.4346868419,-0.10320322365063643,47512.3233514327,0.574672677611325,0.3563147331,138.6064311759,Earth,2023-01-03,False,0
3589135,3589135,(2011 WR41),0.6427096317495924,-0.6054841521403425,-0.6054841517179459,-0.6054841518484736,25.1509837491,56.239309364,-0.6985463375138592,32215.7805473146,-1.7778502426534566,0.0405377113,15.7691696957,Earth,2023-01-03,False,0
3596212,3596212,(2012 BE27),-0.014586210841826711,-0.3905756054826204,-0.39057560572716765,-0.39057560565159877,58.1507039646,130.0289270043,-0.5066174595627855,37147.1356407452,-1.9729323518080835,0.0143520164,5.5829343796,Earth,2023-01-03,False,0
3596264,3596264,(2012 BA35),0.1479319919967107,-0.46145719528541146,-0.4614571950279974,-0.4614571951075427,47.2666667188,105.6914798531,0.5504532453295526,64307.149601994,1.6080748392750694,0.4950273697,192.5656468133,Earth,2023-01-03,False,0
3703436,3703436,(2015 AO43),1.1410987871211076,-0.6825225312918052,-0.6825225314321803,-0.682522531388802,13.3215566698,29.7879062798,-0.7668757866697938,30460.146998428,-1.4644476684914671,0.0826054551,32.1335220339,Earth,2023-01-03,False,0
3102774,3102774,(2002 AJ69),-0.7368893345686608,0.18197987272855856,0.18197987240947672,0.1819798725080784,146.0679642714,326.6178974458,0.1757942061170422,54680.7881026404,1.1421764574875473,0.4324902517,168.2387079113,Earth,2023-01-06,False,0
3550089,3550089,(2010 UY7),1.8634019108479418,-0.7347402119346723,-0.7347402116798649,-0.7347402117586047,5.3034072332,11.8587790858,0.6942343818532958,68001.4130578852,1.4440644631896213,0.4730124054,184.0018257006,Earth,2023-01-06,True,0
3723829,3723829,(2015 MQ116),0.057644101530856445,-0.4238973388922769,-0.4238973385631107,-0.4238973386648286,53.0340723319,118.5877908577,-0.8624433506311098,28004.666622869,-0.8912796658041235,0.1595412772,62.0615568308,Earth,2023-01-06,False,0
3986832,3986832,(2020 BT2),0.11903986704763796,-0.44990515668768344,-0.4499051562933953,-0.44990515641523704,49.0405098418,109.6579136575,1.3641985550117979,85215.2438947838,1.1050280552584721,0.4275038553,166.2989997117,Earth,2023-01-06,False,0
3989408,3989408,(2020 CN),1.4661351927981825,-0.7119593351857134,-0.7119593351557676,-0.7119593351650213,8.801465209,19.6806745089,2.1742357706517064,106028.0636845068,1.6140443982735349,0.4958286582,192.8773480398,Earth,2023-01-06,False,0
3157028,3157028,(2003 MK4),-0.8957960217885648,0.3956478694744774,0.39564786979145683,0.39564786969350474,178.8771952404,399.981568182,0.0811177069942058,52248.2024428481,-1.2492951326798485,0.1114851852,43.3677370428,Earth,2023-01-07,False,1
3330447,3330447,(2006 HJ18),-0.5274214286878796,-0.040998273009873645,-0.04099827296918528,-0.04099827298175871,111.8291378246,250.057554041,-0.4241139064830995,39266.9537788062,-0.1733724063529339,0.2559053187,99.5471689743,Earth,2023-01-07,False,0
3400310,3400310,(2008 BX2),0.09375925771719866,-0.4394420428758118,-0.4394420428738056,-0.43944204287442556,50.6471458835,113.2504610618,0.6895461362907158,67880.954876558,0.12143820154452813,0.2954774797,114.9407396033,Earth,2023-01-07,False,0
3646649,3646649,(2013 QM10),0.4151841477756388,-0.5503517730737215,-0.5503517731173708,-0.5503517731038824,33.6166921158,75.1692087496,0.3678196851876605,59614.6252325213,1.4061668038770492,0.4679254369,182.0229949541,Earth,2023-01-07,False,0
3655393,3655393,(2013 YL2),-0.0037516639859250726,-0.39577160156067864,-0.3957716017179746,-0.3957716016693675,57.3528463953,128.2448632429,0.6959568586511076,68045.6697890692,-1.3320565751713,0.1003761917,39.0463385713,Earth,2023-01-07,False,0
3740102,3740102,(2016 AE166),-0.689939631526417,0.12670187560640309,0.12670187569505034,0.12670187566765692,137.5798959325,307.6379996423,0.7873449109397684,70393.7632178891,-1.3881307081152026,0.0928494116,36.1184211124,Earth,2023-01-07,False,0
3837638,3837638,(2019 AR3),-0.3287880696629999,-0.20395303072204182,-0.2039530308239478,-0.20395303079245708,86.8070457914,194.1064553155,1.7403030269564805,94878.7438497952,-0.7594020520702155,0.1772430899,68.9475619711,Earth,2023-01-07,False,0
3837777,3837777,(2019 AJ8),-0.03625530455363256,-0.37996575803503035,-0.3799657578517756,-0.37996575790840487,59.7798714231,133.6718561883,-0.059784501991318406,48627.9091689858,-0.42013848846858565,0.2227821309,86.6622489201,Earth,2023-01-07,False,0
3406893,3406893,(2008 FC),0.5271411319532989,-0.5794773483311277,-0.5794773486851195,-0.57947734857573,29.1443904535,65.1688382168,0.27695180905345,57279.8970318784,0.6248981977647273,0.3630564592,141.2289626288,Earth,2023-01-11,False,0
3604617,3604617,(2012 KT12),1.249444255680133,-0.6937171856696237,-0.6937171855088825,-0.6937171855585542,11.6025908209,25.9441817907,-0.8649019510938052,27941.4961817082,1.3857279027092364,0.4651819417,180.9557753213,Earth,2023-01-11,False,0
3625068,3625068,(2013 BO27),0.27794655426754067,-0.5084838227886886,-0.5084838225856667,-0.508483822648404,40.0456158192,89.5447191727,0.010668971171495805,50438.1166656336,-1.517609897716335,0.0754695372,29.3576499708,Earth,2023-01-11,False,0
3714123,3714123,(2015 FG36),0.17321260132715,-0.4712219409235309,-0.47122194088323893,-0.4712219408956903,45.7672667231,102.3387195373,-1.0829869630426467,22338.0943071893,0.11232665532632635,0.2942544451,114.4649791439,Earth,2023-01-11,False,0
3843391,3843391,(2019 OZ1),-0.49491778812017206,-0.0705659820652617,-0.07056598227596927,-0.070565982210857,107.2889454508,239.9053752622,0.6260387524181751,66249.2178272974,0.4115964745551988,0.334425162,130.091388018,Earth,2023-01-11,False,0
3991612,3991612,(2020 DJ),1.0327533185620823,-0.6696693491295855,-0.6696693488263313,-0.669669348920042,15.2951935344,34.201092472,-0.6279267672466087,34030.2556866513,-0.36656850189326634,0.2299727817,89.4594120813,Earth,2023-01-11,False,0
3371135,3371135,(2007 EF88),0.08292471086129574,-0.434853563241464,-0.4348535634929485,-0.43485356341523557,51.3517178663,114.8259319105,-0.520663569162623,36786.239694167,-0.6447155607640433,0.1926373538,74.9359306282,Earth,2023-01-12,False,0
3471692,3471692,(2009 UP1),-1.2280554587029078,1.0102233815720882,1.0102233819206354,1.0102233818129283,273.246732042,610.9982674756,0.05751503924466184,51641.7635524536,0.11426819192554241,0.2945150558,114.5663567062,Earth,2023-01-12,False,0
3655562,3655562,(2013 YK48),0.03958652343768533,-0.4158523822158751,-0.41585238228545485,-0.4158523822639535,54.2693945693,121.3500553547,-0.43139424980255076,39079.895122134,-0.5680438829540236,0.2029289237,78.9393513193,Earth,2023-01-12,False,0
3788037,3788037,(2017 UY5),-1.6433797548458382,2.2527491415284526,2.252749141822153,2.2527491417313947,464.0395282463,1037.6239294056,-0.3490181602169683,41196.4382568161,-0.8542907722125098,0.1645062629,63.9929362681,Earth,2023-01-12,False,1
3797456,3797456,(2018 AN2),0.5271411319532989,-0.5794773483311277,-0.5794773486851195,-0.57947734857573,29.1443904535,65.1688382168,-0.34709238312581425,41245.9185161563,-1.1611810570523746,0.1233126578,47.9686238842,Earth,2023-01-12,False,0
2726196,2726196,726196 (2009 UP1),-1.199163333753835,0.9458570685444347,0.9458570683058334,0.9458570683795651,263.3631309525,588.897863577,0.05751515255355361,51641.766463721,0.11426842734395218,0.2945150874,114.5663689986,Earth,2023-01-12,False,0
2755919,2755919,755919 (2017 UY5),-1.6433797548458382,2.2527491415284526,2.252749141822153,2.2527491417313947,464.0395282463,1037.6239294056,-0.34901816231865435,41196.438202559,-0.8542907737024997,0.1645062627,63.9929361903,Earth,2023-01-12,False,1
3769812,3769812,(2017 DO34),0.10820532019173504,-0.44546223324073375,-0.44546223328245693,-0.4454622332695638,49.7227312909,111.1834071935,-0.6140912802697929,34385.7399676194,-0.4877233859281008,0.2137102713,83.1332955357,Earth,2023-01-10,False,0
3795086,3795086,(2017 YQ5),0.49102597576695667,-0.5705323047019333,-0.5705323050853811,-0.5705323049668893,30.5179232594,68.2401509401,-0.3741058199195051,40551.8444896406,-0.8155811540600145,0.1697022199,66.0141635411,Earth,2023-01-10,False,0
3799758,3799758,(2018 DW3),-1.7228330984557896,2.5749691441323455,2.5749691438885423,2.5749691439638815,513.5171786631,1148.2593191046,1.0045697308630634,75975.0636122327,1.5633794383687072,0.4890279465,190.2318711885,Earth,2023-01-10,False,0
3837956,3837956,(2019 BC1),-1.116098474525249,0.7734818151343429,0.7734818149795404,0.7734818150273767,236.8944993559,529.7122040557,-0.02156518475171721,49609.903263322,-1.5325398225942797,0.0734655069,28.5780821841,Earth,2023-01-10,False,1
2872992,2872992,872992 (2019 BC1),-1.116098474525249,0.7734818151343429,0.7734818149795404,0.7734818150273767,236.8944993559,529.7122040557,-0.0215651806744465,49609.9033682285,-1.532539812909345,0.0734655082,28.5780826898,Earth,2023-01-10,False,1
2162385,2162385,162385 (2000 BM19),-1.7156100672185213,2.5443088991456717,2.5443088989941596,2.5443088990409795,508.8092248706,1137.7320143896,-0.8846945660778129,27432.9514864127,-1.4452088230968425,0.0851878679,33.1380806131,Earth,2023-01-13,False,0
