id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,estimated_diameter_mean_km,estimated_diameter_min_m,estimated_diameter_max_m,relative_velocity_km_s,relative_velocity_km_h,miss_distance_km,miss_distance_astronomical,miss_distance_lunar,orbiting_body,close_approach_date,is_sentry_object,is_potentially_hazardous_asteroid
3843391,3843391,(2019 OZ1),21.97,0.1072889455,0.2399053753,0.1735971604,107.2889454508,239.9053752622,18.4025605076,66249.2178272974,50029291.90960494,0.334425162,130.091388018,Earth,2023-01-11,False,0
3991612,3991612,(2020 DJ),26.2,0.0152951935,0.0342010925,0.024748143,15.2951935344,34.201092472,9.4528488018,34030.2556866513,34403438.30029498,0.2299727817,89.4594120813,Earth,2023-01-11,False,0
3371135,3371135,(2007 EF88),23.57,0.0513517179,0.1148259319,0.0830888249,51.3517178663,114.8259319105,10.218399915,36786.239694167,28818137.810916405,0.1926373538,74.9359306282,Earth,2023-01-12,False,0
3471692,3471692,(2009 UP1),19.94,0.273246732,0.6109982675,0.44212249974999995,273.246732042,610.9982674756,14.3449343201,51641.7635524536,44058825.03061114,0.2945150558,114.5663567062,Earth,2023-01-12,False,0
3655562,3655562,(2013 YK48),23.45,0.0542693946,0.1213500554,0.087809725,54.2693945693,121.3500553547,10.8555264228,39079.895122134,30357734.74691252,0.2029289237,78.9393513193,Earth,2023-01-12,False,0
3788037,3788037,(2017 UY5),18.79,0.4640395282,1.0376239294,0.7508317288,464.0395282463,1037.6239294056,11.4434550713,41196.4382568161,24609786.531500023,0.1645062629,63.9929362681,Earth,2023-01-12,False,1
3797456,3797456,(2018 AN2),24.8,0.0291443905,0.0651688382,0.04715661435,29.1443904535,65.1688382168,11.4571995878,41245.9185161563,18447310.950918887,0.1233126578,47.9686238842,Earth,2023-01-12,False,0
2726196,2726196,726196 (2009 UP1),20.02,0.263363131,0.5888978636,0.42613049729999997,263.3631309525,588.897863577,14.3449351288,51641.766463721,44058829.75790384,0.2945150874,114.5663689986,Earth,2023-01-12,False,0
2755919,2755919,755919 (2017 UY5),18.79,0.4640395282,1.0376239294,0.7508317288,464.0395282463,1037.6239294056,11.4434550563,41196.438202559,24609786.50158045,0.1645062627,63.9929361903,Earth,2023-01-12,False,1
3769812,3769812,(2017 DO34),23.64,0.0497227313,0.1111834072,0.08045306925000001,49.7227312909,111.1834071935,9.5515944354,34385.7399676194,31970601.38360213,0.2137102713,83.1332955357,Earth,2023-01-10,False,0
3795086,3795086,(2017 YQ5),24.7,0.0305179233,0.0682401509,0.0493790371,30.5179232594,68.2401509401,11.2644012471,40551.8444896406,25387090.631311614,0.1697022199,66.0141635411,Earth,2023-01-10,False,0
3799758,3799758,(2018 DW3),18.57,0.5135171787,1.1482593191,0.8308882489,513.5171786631,1148.2593191046,21.1041843367,75975.0636122327,73157539.16687396,0.4890279465,190.2318711885,Earth,2023-01-10,False,0
3837956,3837956,(2019 BC1),20.25,0.2368944994,0.5297122041,0.38330335174999997,236.8944993559,529.7122040557,13.7805286843,49609.903263322,10990283.350710303,0.0734655069,28.5780821841,Earth,2023-01-10,False,1
2872992,2872992,872992 (2019 BC1),20.25,0.2368944994,0.5297122041,0.38330335174999997,236.8944993559,529.7122040557,13.7805287134,49609.9033682285,10990283.545187535,0.0734655082,28.5780826898,Earth,2023-01-10,False,1
2162385,2162385,162385 (2000 BM19),18.59,0.5088092249,1.1377320144,0.82327061965,508.8092248706,1137.7320143896,7.6202643018,27432.9514864127,12743923.587681374,0.0851878679,33.1380806131,Earth,2023-01-13,False,0
3759642,3759642,(2016 RH40),24.3,0.0366906138,0.0820427065,0.05936666015,36.6906137531,82.0427064882,12.7019979886,45727.1927591195,52885392.61731571,0.3535170161,137.5181192629,Earth,2023-01-13,False,0
3799273,3799273,(2018 CB2),25.0,0.02658,0.0594346868,0.043007343399999995,26.58,59.4346868419,12.2758579068,44193.0884646132,57152751.7293685,0.38204255,148.61455195,Earth,2023-01-13,False,0
2265482,2265482,265482 (2005 EE),21.21,0.152249185,0.3404395273,0.24634435615,152.249185036,340.4395272595,7.9777348306,28719.8453901472,11594221.007182896,0.0775025808,30.1485039312,Earth,2023-01-14,False,1
2510529,2510529,510529 (2012 EY11),21.58,0.1283970296,0.2871044863,0.20775075795,128.3970295822,287.1044862548,16.1913771204,58288.9576332697,68705314.24761207,0.459266661,178.654731129,Earth,2023-01-14,False,1
3673267,3673267,(2014 LJ),28.52,0.0052547853,0.0117500571,0.0085024212,5.2547853034,11.7500571456,3.4764314793,12515.1533256167,1819585.162195972,0.0121631756,4.7314753084,Earth,2023-01-14,True,0
3674338,3674338,(2014 NE3),20.04,0.2609486033,0.5834988155,0.42222370940000004,260.9486032547,583.4988155112,13.3048014116,47897.2850818547,50952223.59682609,0.3405945793,132.4912913477,Earth,2023-01-14,False,0
3789539,3789539,(2017 WE2),17.87,0.708851033,1.5850390958,1.1469450644,708.8510330298,1585.0390957756,27.3997200151,98638.9920543172,43669313.256706245,0.2919113304,113.5535075256,Earth,2023-01-14,False,0
3795110,3795110,(2017 YO6),22.38,0.0888290416,0.1986277755,0.14372840855,88.8290416389,198.6277754808,12.6829906572,45658.7663659459,46419234.392859876,0.3102934179,120.7041395631,Earth,2023-01-14,False,0
3838863,3838863,(2019 DQ1),25.3,0.0231502122,0.0517654482,0.0374578302,23.150212221,51.7654482198,22.3444873355,80440.1544077446,71074991.39238453,0.4751069744,184.8166130416,Earth,2023-01-14,False,0
3986637,3986637,(2020 AE3),23.25,0.0595052079,0.1330576898,0.09628144884999999,59.5052078631,133.0576897973,14.6502399678,52740.8638842074,38573285.99017204,0.257846492,100.302285388,Earth,2023-01-14,False,0
2199003,2199003,199003 (2005 WJ56),18.16,0.620233153,1.3868834919,1.00355832245,620.2331529543,1386.8834919048,11.1750686279,40230.2470605494,25182026.41889086,0.1683314503,65.4809341667,Earth,2023-01-08,False,1
3733849,3733849,(2015 VL64),28.3,0.0058150704,0.0130028927,0.009408981549999999,5.8150703965,13.0028927004,6.9812112983,25132.3606737897,27443751.73605986,0.1834501503,71.3621084667,Earth,2023-01-08,True,0
3736406,3736406,(2015 XN169),22.28,0.0930154254,0.2079888141,0.15050211975,93.0154253961,207.9888141418,13.3013517791,47884.8664047856,31363042.80044491,0.209648993,81.553458277,Earth,2023-01-08,False,0
2226554,2226554,226554 (2003 WR21),19.62,0.3166321257,0.708010957,0.51232154135,316.6321257337,708.0109570008,8.9964855334,32387.3479203461,10851509.694433302,0.0725378623,28.2172284347,Earth,2023-01-09,False,1
2508908,2508908,508908 (2003 YX1),20.95,0.1716148941,0.3837425691,0.2776787316,171.6148940774,383.7425691085,6.2939907156,22658.3665761987,18118791.350597013,0.1211166399,47.1143729211,Earth,2023-01-09,False,1
3559843,3559843,(2011 EP51),25.2,0.0242412481,0.0542050786,0.03922316335,24.2412481101,54.2050786336,10.0961455007,36346.1238024887,12729559.40964099,0.0850918493,33.1007293777,Earth,2023-01-09,False,0
3789481,3789481,(2017 WU1),26.9,0.0110803882,0.0247765013,0.01792844475,11.0803882126,24.7765012606,4.6045796081,16576.4865892554,63921577.06751832,0.4272893529,166.2155582781,Earth,2023-01-09,False,0
3734647,3734647,(2015 VE106),24.3,0.0366906138,0.0820427065,0.05936666015,36.6906137531,82.0427064882,16.4584923448,59250.5724411281,66750408.91092783,0.4461989259,173.5713821751,Earth,2023-01-20,False,0
2483422,2483422,483422 (2000 CE59),20.53,0.208235599,0.4656289548,0.3369322769,208.2355990473,465.6289548051,8.1212929046,29236.6544564212,49616927.19108417,0.3316686741,129.0191142249,Earth,2023-01-21,False,1
3402610,3402610,(2008 CH116),19.27,0.3720103103,0.8318403423,0.6019253263,372.0103103398,831.8403422506,12.6681429569,45605.3146447291,44700237.28263405,0.2988026319,116.2342238091,Earth,2023-01-21,False,0
3581556,3581556,(2011 TK5),22.91,0.0695913044,0.1556108872,0.1126010958,69.5913043585,155.6108871884,15.5699836831,56051.9412592986,67887540.79737,0.4538001831,176.5282712259,Earth,2023-01-21,False,0
3792468,3792468,(2017 YH),18.12,0.6317641482,1.4126675811,1.0222158646500001,631.7641481849,1412.6675810887,11.8539272654,42674.1381552953,21690569.76436648,0.144992504,56.402084056,Earth,2023-01-21,False,0
2613939,2613939,613939 (2008 CH116),19.25,0.3754524794,0.8395372662,0.6074948728,375.4524793607,839.5372661714,12.6681424131,45605.3126870844,44700256.41620163,0.2988027598,116.2342735622,Earth,2023-01-21,False,0
2678861,2678861,678861 (2017 YH),18.14,0.6259720997,1.3997161669,1.0128441333,625.9720996596,1399.716166857,11.8539231215,42674.1232375454,21690585.42726347,0.1449926087,56.4021247843,Earth,2023-01-21,False,0
